[2025-09-03 16:57:13,150] 26 root - INFO -Initiate the data Ingestion
[2025-09-03 16:57:18,139] 72 root - INFO -Performed train test split on the dataframe
[2025-09-03 16:57:18,139] 73 root - INFO -Exicited split_data_as_train_test method of Data_ingeestion class
[2025-09-03 16:57:18,140] 80 root - INFO -Exporting train and test file path
[2025-09-03 16:57:18,181] 89 root - INFO -Exported train and test file path 
[2025-09-03 16:57:18,182] 30 root - INFO -Data Ingestion completed
[2025-09-03 16:57:18,186] 34 root - INFO -Initiate the data validation
[2025-09-03 16:57:18,229] 32 root - INFO -Required number of columns:2
[2025-09-03 16:57:18,230] 33 root - INFO -Data frame has columns:31
[2025-09-03 16:57:18,230] 32 root - INFO -Required number of columns:2
[2025-09-03 16:57:18,230] 33 root - INFO -Data frame has columns:31
[2025-09-03 16:57:18,346] 36 root - INFO -Data validation Completed
[2025-09-03 16:57:18,346] 40 root - INFO -data Transformation started
[2025-09-03 16:57:18,347] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-09-03 16:57:18,347] 65 root - INFO -Starting data transformation
[2025-09-03 16:57:18,374] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-03 16:57:18,374] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-03 16:57:18,389] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:57:18,391] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:57:18,391] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:57:18,393] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:57:18,394] 45 root - INFO -Model Training Started
[2025-09-03 17:10:09,851] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 17:10:09,852] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 17:10:09,852] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 17:10:09,870] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 17:10:09,870] 138 root - INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artificts\\09_03_2025_16_57_10\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910615647283318, precision_score=0.9877877877877878, recall_score=0.9943571140669085), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.978441127694859, precision_score=0.9695973705834018, recall_score=0.9874476987447699))
[2025-09-03 17:10:09,872] 50 root - INFO -Model Training artifact created
