[2025-09-03 16:34:11,354] 26 root - INFO -Initiate the data Ingestion
[2025-09-03 16:34:27,082] 72 root - INFO -Performed train test split on the dataframe
[2025-09-03 16:34:27,082] 73 root - INFO -Exicited split_data_as_train_test method of Data_ingeestion class
[2025-09-03 16:34:27,082] 80 root - INFO -Exporting train and test file path
[2025-09-03 16:34:27,127] 89 root - INFO -Exported train and test file path 
[2025-09-03 16:34:27,128] 30 root - INFO -Data Ingestion completed
[2025-09-03 16:34:27,132] 34 root - INFO -Initiate the data validation
[2025-09-03 16:34:27,172] 32 root - INFO -Required number of columns:2
[2025-09-03 16:34:27,173] 33 root - INFO -Data frame has columns:31
[2025-09-03 16:34:27,173] 32 root - INFO -Required number of columns:2
[2025-09-03 16:34:27,173] 33 root - INFO -Data frame has columns:31
[2025-09-03 16:34:27,287] 36 root - INFO -Data validation Completed
[2025-09-03 16:34:27,287] 40 root - INFO -data Transformation started
[2025-09-03 16:34:27,287] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-09-03 16:34:27,287] 65 root - INFO -Starting data transformation
[2025-09-03 16:34:27,306] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-03 16:34:27,307] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-03 16:34:27,318] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:34:27,321] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:34:27,321] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:34:27,323] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:34:27,324] 45 root - INFO -Model Training Started
[2025-09-03 16:37:14,668] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:37:14,669] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:37:14,669] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:37:14,699] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:37:14,699] 138 root - INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artificts\\09_03_2025_16_34_08\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991522002422285, precision_score=0.99052228271829, recall_score=0.9925237421701354), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9723939019365472, precision_score=0.9680065627563577, recall_score=0.9768211920529801))
[2025-09-03 16:37:14,703] 50 root - INFO -Model Training artifact created
