[2025-09-01 13:53:23,154] 18 root - INFO -Initiate the data Ingestion
[2025-09-01 13:53:30,436] 72 root - INFO -Performed train test split on the dataframe
[2025-09-01 13:53:30,436] 73 root - INFO -Exicited split_data_as_train_test method of Data_ingeestion class
[2025-09-01 13:53:30,437] 80 root - INFO -Exporting train and test file path
[2025-09-01 13:53:30,480] 89 root - INFO -Exported train and test file path 
[2025-09-01 13:53:30,481] 22 root - INFO -Data Ingestion completed
[2025-09-01 13:53:30,485] 26 root - INFO -Initiate the data validation
[2025-09-01 13:53:30,537] 32 root - INFO -Required number of columns:2
[2025-09-01 13:53:30,538] 33 root - INFO -Data frame has columns:31
[2025-09-01 13:53:30,538] 32 root - INFO -Required number of columns:2
[2025-09-01 13:53:30,538] 33 root - INFO -Data frame has columns:31
[2025-09-01 13:53:30,662] 28 root - INFO -Data validation Completed
