[2025-09-03 16:25:42,634] 26 root - INFO -Initiate the data Ingestion
[2025-09-03 16:25:48,878] 72 root - INFO -Performed train test split on the dataframe
[2025-09-03 16:25:48,878] 73 root - INFO -Exicited split_data_as_train_test method of Data_ingeestion class
[2025-09-03 16:25:48,878] 80 root - INFO -Exporting train and test file path
[2025-09-03 16:25:48,920] 89 root - INFO -Exported train and test file path 
[2025-09-03 16:25:48,921] 30 root - INFO -Data Ingestion completed
[2025-09-03 16:25:48,935] 34 root - INFO -Initiate the data validation
[2025-09-03 16:25:48,974] 32 root - INFO -Required number of columns:2
[2025-09-03 16:25:48,974] 33 root - INFO -Data frame has columns:31
[2025-09-03 16:25:48,974] 32 root - INFO -Required number of columns:2
[2025-09-03 16:25:48,974] 33 root - INFO -Data frame has columns:31
[2025-09-03 16:25:49,088] 36 root - INFO -Data validation Completed
[2025-09-03 16:25:49,089] 40 root - INFO -data Transformation started
[2025-09-03 16:25:49,089] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-09-03 16:25:49,089] 65 root - INFO -Starting data transformation
[2025-09-03 16:25:49,108] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-03 16:25:49,108] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-03 16:25:49,120] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:25:49,122] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:25:49,123] 52 root - INFO -Entered the save_object method of mainUnits class
[2025-09-03 16:25:49,125] 56 root - INFO -Exited the save_object method of MainUnits Class
[2025-09-03 16:25:49,126] 45 root - INFO -Model Training Started
